utc,lat,lon,dep
2010-02-12T10:39:22.430000Z,60.2102,-141.9085,50.24
2010-02-12T15:30:01.370000Z,60.4905,-143.2726,14.43
2010-02-12T16:04:27.910000Z,60.2253,-142.5415,13.63
2010-02-13T01:29:06.420000Z,61.4175,-141.1775,10.76
2010-02-13T09:04:17.510000Z,60.1913,-141.4292,11.74
2010-02-13T09:26:27.250000Z,59.9569,-140.9232,15.0
2010-02-13T16:41:39.070000Z,59.8199,-141.7746,21.1
2010-02-13T18:02:32.870000Z,59.8655,-141.7657,20.47
2010-02-13T21:34:36.380000Z,60.2254,-141.6829,14.24
2010-02-13T22:02:35.860000Z,60.5129,-141.7496,21.37
2010-02-14T08:18:26.570000Z,61.0854,-140.7936,15.0
2010-02-14T09:00:03.730000Z,61.1715,-139.959,15.0
2010-02-15T15:03:20.490000Z,60.3233,-142.3881,10.08
2010-02-15T17:06:15.530000Z,60.0905,-141.0708,16.51
2010-02-15T17:06:51.860000Z,60.0588,-140.9771,15.13
2010-02-16T05:07:57.240000Z,60.3195,-142.0725,10.36
2010-02-17T08:10:33.380000Z,60.6626,-142.8646,7.61
2010-02-18T19:45:13.330000Z,60.1824,-140.844,15.11
2010-02-19T08:41:42.820000Z,60.5842,-143.0607,12.79
2010-02-19T11:16:08.720000Z,60.0099,-140.0088,13.54
2010-02-19T13:12:02.220000Z,60.3349,-141.2579,13.7
2010-02-19T13:16:40.780000Z,60.3327,-141.2504,13.82
2010-02-19T15:20:19.940000Z,60.6215,-142.6282,20.25
2010-02-19T23:31:29.600000Z,60.4741,-141.9597,2.45
2010-02-20T08:05:06.770000Z,60.8952,-140.4389,15.0
2010-02-20T08:34:14.510000Z,60.1337,-141.5579,13.22
2010-02-20T14:18:26.710000Z,60.727,-143.1514,15.02
2010-02-20T14:32:48.370000Z,60.2374,-141.4913,20.78
2010-02-20T16:50:28.450000Z,60.136,-141.471,12.4
2010-02-20T23:51:08.410000Z,60.5668,-141.4201,21.98
2010-02-21T00:43:51.320000Z,59.9378,-141.4317,16.63
2010-02-21T00:52:07.060000Z,59.8917,-141.3832,10.38
2010-02-21T00:54:48.580000Z,59.8487,-141.4124,20.16
2010-02-21T01:08:42.700000Z,59.8867,-141.3025,13.13
2010-02-21T06:26:53.220000Z,60.1235,-141.0815,0.0
2010-02-21T17:51:05.070000Z,60.6187,-142.5817,8.88
2010-02-21T22:18:51.420000Z,59.9004,-140.4565,16.22
2010-02-21T22:47:53.290000Z,59.9184,-141.7678,17.19
2010-02-22T02:42:43.100000Z,60.4309,-142.281,11.88
2010-02-22T04:10:23.850000Z,60.1389,-141.4423,10.96
